Subscription_Status,Age,Monthly_Fee,Avg_Class_Attendance,Check_Ins_Per_Month,Years_As_Member,Cardio_Machine_Minutes,Weight_Room_Minutes,Personal_Trainer_Sessions,Complaints_Filed,Friend_Referrals,Gender,Home_Branch,Payment_Method,Join_Date,Promo_Code_Used,Locker_Rented,Favorite_Workout_Time,Member_ID,Notes_Field
Renewed,36,59.99,4,8,0.2,173,177,0,3,0,F,Northside,Cash,01/01/22,WINTER20,No,Morning,GYM-42239,Requested new barbell sets
Expired,21,49.99,4,12,1.3,190,143,1,1,0,m,Downtown,Direct Debit,2022-01-02,nan,No,Night,GYM-77100,Requested new barbell sets
Cancelled,38,59.99,5,3,1.3,139,327,0,2,0,m,Northside,Cash,2022-01-03,nan,Y,Afternoon,GYM-49581,Prefers morning yoga
Cancelled,41,59.99,4,2,2.1,296,367,1,4,0,Female,Uptown,Cash,2022-01-05,nan,Yes,Night,GYM-27866,Showers are cold
Renewed,40,79.99,4,4,1.3,118,306,2,0,0,femal,Downtown,Credit Card,06/01/22,nan,No,Night,GYM-67056,Prefers morning yoga
Renewed,45,,7,6,0.3,274,398,0,0,0,Male,Uptown,Credit Card,2022-01-08,nan,Yes,Night,GYM-31266,Requested new barbell sets
Renewed,43,49.99,2,5,1.4,75,88,0,0,0,femal,Downtown,Direct Debit,2022-01-09,nan,Yes,Afternoon,GYM-98898,Prefers morning yoga
Cancelled,39,49.99,1,3,4.7,108,238,1,3,0,Female,Northside,Cash,2022-01-11,nan,No,Evening,GYM-52837,Requested new barbell sets
Cancelled,34,79.99,3,2,0.3,118,37,1,3,0,femal,Uptown,Direct Debit,12/01/22,nan,No,Afternoon,GYM-22652,Prefers morning yoga
Cancelled,18,59.99,2,4,2.3,257,360,2,3,0,F,Downtown,Direct Debit,2022-01-14,nan,No,Night,GYM-23789,Requested new barbell sets
Renewed,39,59.99,5,7,1.8,19,78,2,1,0,Female,Downtown,Credit Card,2022-01-15,SUMMER50,No,Night,GYM-22755,Requested new barbell sets
Expired,37,49.99,4,3,2.8,118,344,2,0,0,F,Uptown,Cash,2022-01-17,nan,Yes,Morning,GYM-52608,Requested new barbell sets
Cancelled,37,49.99,7,4,0.3,136,326,1,0,0,Female,Northside,Direct Debit,18/01/22,SUMMER50,No,Night,GYM-44692,Showers are cold
Renewed,22,49.99,5,9,5.7,276,345,0,0,0,M,Uptown,Direct Debit,2022-01-19,nan,Yes,Afternoon,GYM-40667,Requested new barbell sets
Renewed,24,79.99,6,8,1.9,254,251,0,0,0,F,Downtown,Credit Card,2022-01-21,nan,Yes,Afternoon,GYM-78234,Showers are cold
Renewed,45,59.99,7,9,3.8,263,327,1,0,0,F,Uptown,Credit Card,2022-01-22,nan,Yes,Afternoon,GYM-57929,Requested new barbell sets
Renewed,34,79.99,6,7,0.6,166,148,0,1,0,M,Uptown,Credit Card,24/01/22,nan,Y,Evening,GYM-68695,Prefers morning yoga
Renewed,41,49.99,4,7,2.7,164,15,0,1,0,M,Northside,Direct Debit,2022-01-25,nan,No,Morning,GYM-90789,Requested new barbell sets
Renewed,35,59.99,3,10,3.0,28,366,3,0,0,Male,Northside,Cash,2022-01-27,WINTER20,No,Evening,GYM-89671,Requested new barbell sets
Renewed,35,,0,6,1.0,34,322,1,2,0,M,Uptown,Credit Card,2022-01-28,nan,No,Afternoon,GYM-68561,Prefers morning yoga
Cancelled,44,49.99,5,2,1.0,236,320,0,3,0,Female,Northside,Credit Card,30/01/22,nan,No,Evening,GYM-75302,Requested new barbell sets
Renewed,29,79.99,8,8,2.1,293,268,1,0,0,M,Northside,Cash,2022-01-31,nan,No,Morning,GYM-92191,Requested new barbell sets
Renewed,35,79.99,2,11,0.2,89,117,0,0,0,M,Downtown,Direct Debit,2022-02-02,nan,No,Morning,GYM-25117,Requested new barbell sets
